Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_1.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_2.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_3.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_4.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_5.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_6.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_7.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_8.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_9.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_10.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_11.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_12.raw
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,204908,591085,356650,191927,621224,,1244670,,494151,387425,,336073
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310,KV228_HUMAN;KV229_HUMAN;KV230_HUMAN;KV240_HUMAN;KVD26_HUMAN;KVD28_HUMAN;KVD29_HUMAN;KVD30_HUMAN;KVD40_HUMAN,IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40,Immunoglobulin kappa variable 2-28,93453400,61925500,55659800,59624400,52302300,52518700,62100000,61654500,57533300,55599500,43674300,64083400
A0A087WSY6,KVD15_HUMAN,IGKV3D-15,Immunoglobulin kappa variable 3D-15,,,618525,555608,,741756,675707,720788,690723,779899,778796,746948
A0A0A0MS14,HV145_HUMAN,IGHV1-45,Immunoglobulin heavy variable 1-45,7440460000,11590400000,9762230000,8512280000,12537000000,11391000000,10018600000,8671900000,9960260000,10852600000,8159940000,6745220000
A0A0B4J1Y9,HV372_HUMAN,IGHV3-72,Immunoglobulin heavy variable 3-72,315221,447667,392746,419787,,,,,,,,
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01,HV103_HUMAN;HV108_HUMAN;HV146_HUMAN;HV169_HUMAN;HV69D_HUMAN,IGHV1-3;IGHV1-46;IGHV1-69;IGHV1-69D;IGHV1-8,Immunoglobulin heavy variable 1-69D,,,,,,1122960,,,,,,
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,46929200,41245900,36320000,37751400,47801400,40597600,46460600,42268400,41449200,46914900,38814400,44901700
A0AVF1,IFT56_HUMAN,IFT56,Intraflagellar transport protein 56,,,141693,53512.3,1609370,1441320,1384800,849626,632517,980210,642547,539792
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,846862,1077420,902934,901635,13684400,12989200,14740300,13642700,6458410,6416150,6804740,6779420
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,768634,717697,652268,673487,16372600,15334000,14090900,13558200,10196900,10380900,8736470,8226580
A0PJZ3,GXLT2_HUMAN,GXYLT2,Glucoside xylosyltransferase 2,,,,,143898,143424,136719,107221,296167,260401,217061,304938
A0PK00,T120B_HUMAN,TMEM120B,Transmembrane protein 120B,,,,,592639,445264,2218670,,,,,2839250
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,,,,,2083240,1994190,1793350,1788420,1358160,928533,1132180,981589
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,,,,,1263740,1089810,850281,896096,1465670,1565140,1328430,1028250
A2RU67,F234B_HUMAN,FAM234B,Protein FAM234B,,,,,172668,106656,,159855,417581,389983,383744,338794
A2VDJ0,T131L_HUMAN,TMEM131L,Transmembrane protein 131-like,,,,,503333,640451,444354,294265,772428,713556,682637,804593
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,325926,378073,333236,312084,1647580,1241300,1755010,1478360,790744,959563,822688,679868
